Country,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Perceptions of Corruption,Generosity
Russia,56,5.856,1.232,1.053,0.59,0.327,0.036,0.027
Poland,57,5.835,1.246,1.047,0.691,0.452,0.055,0.144
South Korea,57,5.835,1.359,0.722,0.886,0.252,0.077,0.188
Bolivia,59,5.822,0.794,0.838,0.47,0.51,0.077,0.217
Lithuania,60,5.813,1.269,1.064,0.647,0.189,0.018,0.02
Belarus,61,5.802,1.131,1.05,0.631,0.291,0.175,0.139
North Cyprus,62,5.771,1.311,0.818,0.841,0.436,0.166,0.263
Slovenia,63,5.768,1.299,1.056,0.792,0.532,0.036,0.257
Peru,64,5.743,0.996,0.813,0.63,0.375,0.053,0.145
Turkmenistan,65,5.658,1.08,1.038,0.44,0.374,0.285,0.226
Mauritius,66,5.648,1.144,0.757,0.662,0.461,0.052,0.37
Libya,67,5.615,1.067,0.951,0.523,0.407,0.103,0.171
Latvia,68,5.56,1.218,0.95,0.64,0.28,0.089,0.174
Cyprus,69,5.546,1.319,0.707,0.849,0.295,0.052,0.279
Paraguay,70,5.538,0.894,1.111,0.583,0.462,0.074,0.253
Romania,71,5.528,1.17,0.728,0.676,0.367,0.007,0.129
Estonia,72,5.517,1.28,1.052,0.681,0.415,0.185,0.084
Jamaica,73,5.51,0.893,0.964,0.595,0.436,0.043,0.222
Croatia,74,5.488,1.186,0.608,0.705,0.239,0.04,0.184
Hong Kong,75,5.458,1.511,0.87,0.953,0.481,0.316,0.401
Somalia,76,5.44,0.0,0.336,0.115,0.568,0.312,0.272
Kosovo,77,5.401,0.901,0.661,0.54,0.144,0.065,0.28
Turkey,78,5.389,1.165,0.877,0.647,0.239,0.123,0.047
Indonesia,79,5.314,0.951,0.876,0.494,0.392,0.003,0.565
Jordan,80,5.303,0.997,0.862,0.607,0.36,0.133,0.143
Azerbaijan,81,5.291,1.124,0.76,0.545,0.353,0.179,0.056
Philippines,82,5.279,0.812,0.879,0.47,0.549,0.118,0.217
China,83,5.245,1.028,0.794,0.736,0.44,0.027,0.05
Bhutan,84,5.196,0.853,0.908,0.498,0.461,0.162,0.485
Kyrgyzstan,85,5.185,0.56,0.954,0.554,0.402,0.048,0.384
Serbia,86,5.177,1.034,0.813,0.646,0.157,0.043,0.207
Bosnia and Herzegovina,87,5.163,0.934,0.644,0.708,0.095,0.0,0.299
Montenegro,88,5.161,1.078,0.742,0.635,0.151,0.127,0.172
Dominican Republic,89,5.155,1.028,0.995,0.577,0.523,0.124,0.213
Morocco,90,5.151,0.841,0.386,0.595,0.256,0.084,0.041
Hungary,91,5.145,1.241,0.932,0.676,0.198,0.045,0.099
Pakistan,92,5.132,0.688,0.261,0.403,0.146,0.139,0.312
Lebanon,93,5.129,1.123,0.642,0.762,0.262,0.031,0.237
Portugal,94,5.123,1.276,0.944,0.794,0.447,0.015,0.117
Macedonia,95,5.121,1.019,0.782,0.647,0.277,0.07,0.235
Vietnam,96,5.061,0.74,0.791,0.662,0.56,0.116,0.251
Somaliland Region,97,5.057,0.256,0.759,0.331,0.391,0.368,0.515
Tunisia,98,5.045,0.977,0.432,0.596,0.236,0.082,0.039
Greece,99,5.033,1.249,0.755,0.8,0.058,0.041,0.0
Tajikistan,100,4.996,0.488,0.756,0.531,0.434,0.135,0.26
Mongolia,101,4.907,0.989,1.09,0.555,0.36,0.033,0.345
Laos,102,4.876,0.68,0.55,0.383,0.522,0.224,0.431
Nigeria,103,4.875,0.752,0.645,0.051,0.279,0.03,0.232
Honduras,104,4.871,0.694,0.756,0.584,0.268,0.069,0.204
Iran,105,4.813,1.118,0.389,0.642,0.225,0.056,0.385
Zambia,106,4.795,0.612,0.638,0.236,0.427,0.115,0.179
Nepal,107,4.793,0.446,0.697,0.501,0.37,0.07,0.382
Palestinian Territories,108,4.754,0.67,0.716,0.568,0.177,0.106,0.112
Albania,109,4.655,0.955,0.502,0.73,0.319,0.053,0.168
Bangladesh,110,4.643,0.542,0.247,0.53,0.398,0.126,0.191
Sierra Leone,111,4.635,0.365,0.628,0.0,0.307,0.082,0.239
Iraq,112,4.575,1.075,0.592,0.511,0.249,0.136,0.196
Namibia,113,4.574,0.933,0.704,0.347,0.486,0.104,0.078
Cameroon,114,4.513,0.525,0.625,0.127,0.427,0.061,0.227
Ethiopia,115,4.508,0.293,0.379,0.346,0.367,0.172,0.295
South Africa,116,4.459,1.024,0.961,0.186,0.425,0.084,0.137
Sri Lanka,117,4.415,0.973,0.848,0.62,0.508,0.08,0.47
India,118,4.404,0.74,0.292,0.451,0.403,0.087,0.25
Myanmar,119,4.395,0.341,0.7,0.399,0.427,0.202,0.82
Egypt,120,4.362,0.954,0.498,0.521,0.188,0.104,0.127
Armenia,121,4.36,0.861,0.625,0.641,0.14,0.036,0.078
Kenya,122,4.356,0.523,0.762,0.301,0.406,0.067,0.413
Ukraine,123,4.324,0.873,1.014,0.586,0.129,0.018,0.204
Ghana,124,4.276,0.631,0.494,0.297,0.41,0.033,0.212
Congo (Kinshasa),125,4.272,0.057,0.807,0.188,0.156,0.061,0.255
Georgia,126,4.252,0.838,0.192,0.64,0.325,0.319,0.068
Congo (Brazzaville),127,4.236,0.771,0.478,0.282,0.379,0.098,0.121
Senegal,128,4.219,0.443,0.774,0.405,0.311,0.117,0.191
Bulgaria,129,4.217,1.113,0.925,0.678,0.212,0.006,0.128
Mauritania,130,4.201,0.614,0.841,0.286,0.127,0.18,0.227
Zimbabwe,131,4.193,0.35,0.715,0.16,0.254,0.086,0.185
Malawi,132,4.156,0.087,0.147,0.294,0.414,0.076,0.31
Sudan,133,4.139,0.631,0.819,0.298,0.0,0.1,0.181
Gabon,134,4.121,1.159,0.724,0.349,0.281,0.093,0.062
Mali,135,4.073,0.313,0.863,0.163,0.275,0.136,0.211
Haiti,136,4.028,0.341,0.296,0.275,0.121,0.145,0.48
Botswana,137,3.974,1.094,0.892,0.348,0.441,0.108,0.124
Comoros,138,3.956,0.275,0.603,0.3,0.154,0.184,0.183
Ivory Coast,139,3.916,0.555,0.576,0.045,0.407,0.155,0.203
Cambodia,140,3.907,0.556,0.538,0.425,0.589,0.081,0.403
Angola,141,3.866,0.847,0.664,0.05,0.006,0.084,0.121
Niger,142,3.856,0.133,0.605,0.262,0.38,0.172,0.21
